"gene_symbol","geneid","ensemblid","geneNcbiType","geneDSI","geneDPI","genepLI","uniprotids","protein_classid","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","diseaseClasses_MSH","diseaseClasses_UMLS_ST","diseaseClasses_DO","diseaseClasses_HPO","source","associationType","text","sentence","pmYear","score","chemsInSentence","reference_type","reference","ancestry_name","ancestry_id","chemical_effect","polarity"
"MICA",100507436,"ENSG00000204520","protein-coding",0.405,0.913,0.0031713,"Q29983","","","Stevens-Johnson Syndrome","[disease]","C0038325","Immune System Diseases (C20) | Skin and Connective Tissue Diseases (C17) | Chemically-Induced Disorders (C25) | Stomatognathic Diseases (C07)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","CLINPGX","Pharmacogenomics","Allele C is associated with increased risk of Stevens-Johnson Syndrome when treated with carbamazepine as compared to allele G.","Allele C is associated with increased risk of Stevens-Johnson Syndrome when treated with carbamazepine as compared to allele G.",2006,0.5,NA,"PMID","16538176","","",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Glaucoma 1, Open Angle, H","[disease]","C1969811","Eye Diseases (C11)","Disease or Syndrome (T047)","","","CLINVAR","GeneticVariation",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Glaucoma 1, Open Angle, H","[disease]","C1969811","Eye Diseases (C11)","Disease or Syndrome (T047)","","","CLINVAR","CausalMutation",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Glaucoma 1, Open Angle, H","[disease]","C1969811","Eye Diseases (C11)","Disease or Syndrome (T047)","","","CLINVAR","CausalMutation","Exome Sequencing Identifies a Missense Variant in EFEMP1 Co-Segregating in a Family with Autosomal Dominant Primary Open-Angle Glaucoma.","Exome Sequencing Identifies a Missense Variant in EFEMP1 Co-Segregating in a Family with Autosomal Dominant Primary Open-Angle Glaucoma.",2015,0.5,NA,"PMID","26162006","","",NA,NA
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","AORTIC ANEURYSM, FAMILIAL THORACIC 10","[disease]","C4284414","","Disease or Syndrome (T047)","","","GENCC","CausalMutation","Inactivation of the lysyl oxidase gene Lox leads to aortic aneurysms, cardiovascular dysfunction, and perinatal death in mice.","Inactivation of the lysyl oxidase gene Lox leads to aortic aneurysms, cardiovascular dysfunction, and perinatal death in mice.",2002,0.5,NA,"PMID","12417550","","",NA,NA
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","AORTIC ANEURYSM, FAMILIAL THORACIC 10","[disease]","C4284414","","Disease or Syndrome (T047)","","","UNIPROT","CausalMutation","LOX Mutations Predispose to Thoracic Aortic Aneurysms and Dissections.","LOX Mutations Predispose to Thoracic Aortic Aneurysms and Dissections.",2016,0.5,NA,"PMID","26838787","","",NA,NA
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","AORTIC ANEURYSM, FAMILIAL THORACIC 10","[disease]","C4284414","","Disease or Syndrome (T047)","","","CLINVAR","GeneticVariation","Alternative promoter activation leads to the expression of a novel human lysyl oxidase variant that functions as an amine oxidase.","Alternative promoter activation leads to the expression of a novel human lysyl oxidase variant that functions as an amine oxidase.",2014,0.5,NA,"PMID","25017124","","",NA,NA
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","AORTIC ANEURYSM, FAMILIAL THORACIC 10","[disease]","C4284414","","Disease or Syndrome (T047)","","","CLINVAR","GeneticVariation","Novel LOX Variants in Five Families with Aortic/Arterial Aneurysm and Dissection with Variable Connective Tissue Findings.","Novel LOX Variants in Five Families with Aortic/Arterial Aneurysm and Dissection with Variable Connective Tissue Findings.",2021,0.5,NA,"PMID","34281165","","",NA,NA
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","AORTIC ANEURYSM, FAMILIAL THORACIC 10","[disease]","C4284414","","Disease or Syndrome (T047)","","","GENCC","CausalMutation","LOX Mutations Predispose to Thoracic Aortic Aneurysms and Dissections.","LOX Mutations Predispose to Thoracic Aortic Aneurysms and Dissections.",2016,0.5,NA,"PMID","26838787","","",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE ID","[disease]","C5935602","","Disease or Syndrome (T047)","","","UNIPROT","CausalMutation","Recessive marfanoid syndrome with herniation associated with a homozygous mutation in Fibulin-3.","Recessive marfanoid syndrome with herniation associated with a homozygous mutation in Fibulin-3.",2020,0.5,NA,"PMID","32006683","","",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE ID","[disease]","C5935602","","Disease or Syndrome (T047)","","","UNIPROT","CausalMutation","Loss-of-Function Variants in EFEMP1 Cause a Recognizable Connective Tissue Disorder Characterized by Cutis Laxa and Multiple Herniations.","Loss-of-Function Variants in EFEMP1 Cause a Recognizable Connective Tissue Disorder Characterized by Cutis Laxa and Multiple Herniations.",2021,0.5,NA,"PMID","33807164","","",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE ID","[disease]","C5935602","","Disease or Syndrome (T047)","","","CLINVAR","CausalMutation","Marfanoid habitus, inguinal hernia, advanced bone age, and distinctive facial features: a new collagenopathy?","Marfanoid habitus, inguinal hernia, advanced bone age, and distinctive facial features: a new collagenopathy?",2012,0.5,NA,"PMID","22489068","","",NA,NA
"DNAJB6",10049,"ENSG00000105993","protein-coding",0.562,0.826,0.00076341,"O75190","","","Muscle Weakness","[phenotype]","C0151786","Musculoskeletal Diseases (C05) | Pathological Conditions, Signs and Symptoms (C23) | Nervous System Diseases (C10)","Sign or Symptom (T184)","","Abnormality of the musculoskeletal system (33127)","CLINVAR","GeneticVariation",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"DNAJB6",10049,"ENSG00000105993","protein-coding",0.562,0.826,0.00076341,"O75190","","","Autosomal dominant limb girdle muscular dystrophy","[disease]","C5675009","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10) | Musculoskeletal Diseases (C05)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINGEN","CausalMutation","Exome sequencing reveals DNAJB6 mutations in dominantly-inherited myopathy.","Exome sequencing reveals DNAJB6 mutations in dominantly-inherited myopathy.",2012,0.5,NA,"PMID","22334415","","",NA,NA
"NTM",50863,"ENSG00000182667","protein-coding",0.586,0.913,0.98694,"Q9P121","","","Major Depressive Disorder","[disease]","C1269683","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","","","PSYGENET","Biomarker","It has been reported that NTM might play a role in late-onset Alzheimer disease while NR3C2 may be associated with cognitive function and major depression.","It has been reported that <span class='gene' en_id='50863'>NTM</span> might play a role in late-onset Alzheimer disease while NR3C2 may be associated with cognitive function and <span class='disease' en_id='C1269683'>major depression</span>.",2011,0.5,NA,"PMID","21036197","","",NA,"Positive"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Oral submucosal fibrosis, including of tongue","[disease]","C0029171","","Disease or Syndrome (T047)","disease of anatomical entity (7)","","RGD_HUMAN","CausalOrContributing","Oral submucous fibrosis: review on aetiology and pathogenesis.","Oral submucous fibrosis: review on aetiology and pathogenesis.",2006,0.5,NA,"PMID","16311067","","",NA,NA
"FAM83D",81610,"ENSG00000101447","protein-coding",0.658,0.478,3.3088e-11,"Q9H4H8","","","Glioblastoma","[disease]","C0017636","Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","","RGD_HUMAN","CausalOrContributing","The re-expression of β-catenin reversed FAM83D-silencing-induced antitumor effects in GBM cells.","The re-expression of β-catenin reversed <span class='gene' en_id='81610'>FAM83D</span>-silencing-induced antitumor effects in <span class='disease' en_id='C0017636,C1621958'>GBM</span> cells.",2022,0.5,NA,"PMID","35150198","","",NA,"Positive"
"NEDD4L",23327,"ENSG00000049759","protein-coding",0.487,0.87,0.99878,"Q96PU5","DTO_05007624","Enzyme","Periventricular Heterotopia, X-Linked","[disease]","C1848213","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","physical disorder (0080015) | disease of anatomical entity (7)","","MGD_HUMAN","CausalOrContributing",NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Advanced bone age","[phenotype]","C0545053","","Finding (T033)","","Abnormality of the musculoskeletal system (33127)","CLINVAR","CausalMutation",NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Tall stature","[phenotype]","C0241240","","Finding (T033)","","Growth abnormality (01507)","CLINVAR","CausalMutation",NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Lower eyelid ectropion","[disease]","C0521736","Eye Diseases (C11)","Disease or Syndrome (T047)","","Abnormality of head or neck (00152)","CLINVAR","CausalMutation",NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Precursor Lymphoid Neoplasm","[disease]","C1335469","Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","","RGD_HUMAN","CausalOrContributing",NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Nyctalopia","[disease]","C0028077","Eye Diseases (C11)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the eye (00478)","CLINVAR","GeneticVariation",NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA
"KCNN3",3782,"ENSG00000143603","protein-coding",0.52,0.913,0.99999,"Q9UGI6","DTO_01300327","Ion channel","Chronic paranoid schizophrenia","[disease]","C0270398","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","","MGD_HUMAN","CausalOrContributing",NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA
"HCP5",10866,"ENSG00000206337","ncRNA",0.432,0.87,NA,"","","","Thrombocytopenia","[disease]","C0040034","Hemic and Lymphatic Diseases (C15)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of blood and blood-forming tissues (01871)","CLINPGX","Pharmacogenomics","Allele G is associated with increased severity of Thrombocytopenia when treated with carboplatin and gemcitabine in people with Carcinoma, Non-Small-Cell Lung as compared to allele A.","Allele G is associated with increased severity of Thrombocytopenia when treated with carboplatin and gemcitabine in people with Carcinoma, Non-Small-Cell Lung as compared to allele A.",2021,0.45,NA,"PMID","31616045","","",NA,NA
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","DiGeorge Syndrome","[disease]","C0012236","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Endocrine System Diseases (C19) | Musculoskeletal Diseases (C05) | Hemic and Lymphatic Diseases (C15)","Disease or Syndrome (T047)","genetic disease (630) | syndrome (225)","","ORPHANET","GermlineModifyingMutation","Histone Modifier Genes Alter Conotruncal Heart Phenotypes in 22q11.2 Deletion Syndrome.","Histone Modifier Genes Alter Conotruncal Heart Phenotypes in 22q11.2 Deletion Syndrome.",2015,0.45,NA,"PMID","26608785","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","CausalMutation","Interaction of coding region mutations and the Gilbert-type promoter abnormality of the UGT1A1 gene causes moderate degrees of unconjugated hyperbilirubinaemia and may lead to neonatal kernicterus.","Interaction of coding region mutations and the Gilbert-type promoter abnormality of the UGT1A1 gene causes moderate degrees of unconjugated hyperbilirubinaemia and may lead to neonatal kernicterus.",2001,0.45,NA,"PMID","11370628","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","CausalMutation","The genetic basis of the reduced expression of bilirubin UDP-glucuronosyltransferase 1 in Gilbert's syndrome.","The genetic basis of the reduced expression of bilirubin UDP-glucuronosyltransferase 1 in Gilbert's syndrome.",1995,0.45,NA,"PMID","7565971","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","The cDNA sequence and expression of a variant 17 beta-hydroxysteroid UDP-glucuronosyltransferase.","The cDNA sequence and expression of a variant 17 beta-hydroxysteroid UDP-glucuronosyltransferase.",1990,0.45,NA,"PMID","1692835","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","CausalMutation","Crigler-Najjar syndrome in The Netherlands: identification of four novel UGT1A1 alleles, genotype-phenotype correlation, and functional analysis of 10 missense mutants.","Crigler-Najjar syndrome in The Netherlands: identification of four novel UGT1A1 alleles, genotype-phenotype correlation, and functional analysis of 10 missense mutants.",2010,0.45,NA,"PMID","19830808","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","Structure of human succinic semialdehyde dehydrogenase gene: identification of promoter region and alternatively processed isoforms.","Structure of human succinic semialdehyde dehydrogenase gene: identification of promoter region and alternatively processed isoforms.",2002,0.45,NA,"PMID","12208142","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","A mutation in bilirubin uridine 5'-diphosphate-glucuronosyltransferase isoform 1 causing Crigler-Najjar syndrome type II.","A mutation in bilirubin uridine 5'-diphosphate-glucuronosyltransferase isoform 1 causing Crigler-Najjar syndrome type II.",1993,0.45,NA,"PMID","8514037","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","Meta-analysis diagnostic accuracy of SNP-based pathogenicity detection tools: a case of UTG1A1 gene mutations.","Meta-analysis diagnostic accuracy of SNP-based pathogenicity detection tools: a case of UTG1A1 gene mutations.",2013,0.45,NA,"PMID","23875061","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","Interaction of coding region mutations and the Gilbert-type promoter abnormality of the UGT1A1 gene causes moderate degrees of unconjugated hyperbilirubinaemia and may lead to neonatal kernicterus.","Interaction of coding region mutations and the Gilbert-type promoter abnormality of the UGT1A1 gene causes moderate degrees of unconjugated hyperbilirubinaemia and may lead to neonatal kernicterus.",2001,0.45,NA,"PMID","11370628","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","Gilbert's syndrome is caused by a heterozygous missense mutation in the gene for bilirubin UDP-glucuronosyltransferase.","Gilbert's syndrome is caused by a heterozygous missense mutation in the gene for bilirubin UDP-glucuronosyltransferase.",1995,0.45,NA,"PMID","8528206","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","Analysis of bilirubin uridine 5'-diphosphate (UDP)-glucuronosyltransferase gene mutations in seven patients with Crigler-Najjar syndrome type II.","Analysis of bilirubin uridine 5'-diphosphate (UDP)-glucuronosyltransferase gene mutations in seven patients with Crigler-Najjar syndrome type II.",1998,0.45,NA,"PMID","9621515","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","Crigler-Najjar syndrome in The Netherlands: identification of four novel UGT1A1 alleles, genotype-phenotype correlation, and functional analysis of 10 missense mutants.","Crigler-Najjar syndrome in The Netherlands: identification of four novel UGT1A1 alleles, genotype-phenotype correlation, and functional analysis of 10 missense mutants.",2010,0.45,NA,"PMID","19830808","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","Association of Neonatal Hyperbilirubinemia with UGT1A1 Gene Polymorphisms: A Meta-Analysis.","Association of Neonatal Hyperbilirubinemia with UGT1A1 Gene Polymorphisms: A Meta-Analysis.",2015,0.45,NA,"PMID","26467199","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","CausalMutation","Association of neonatal hyperbilirubinemia with uridine diphosphate-glucuronosyltransferase 1A1 gene polymorphisms: meta-analysis.","Association of neonatal hyperbilirubinemia with uridine diphosphate-glucuronosyltransferase 1A1 gene polymorphisms: meta-analysis.",2011,0.45,NA,"PMID","21342357","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","Gilbert and Crigler Najjar syndromes: an update of the UDP-glucuronosyltransferase 1A1 (UGT1A1) gene mutation database.","Gilbert and Crigler Najjar syndromes: an update of the UDP-glucuronosyltransferase 1A1 (UGT1A1) gene mutation database.",2013,0.45,NA,"PMID","23403257","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","Association of polymorphisms in four bilirubin metabolism genes with serum bilirubin in three Asian populations.","Association of polymorphisms in four bilirubin metabolism genes with serum bilirubin in three Asian populations.",2009,0.45,NA,"PMID","19243019","Asian","HANCESTRO:0008",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","UGT1A1 sequence variants associated with risk of adult hyperbilirubinemia: a quantitative analysis.","UGT1A1 sequence variants associated with risk of adult hyperbilirubinemia: a quantitative analysis.",2014,0.45,NA,"PMID","25200497","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","A case of anorexia nervosa with hyperbilirubinaemia in a patient homozygous for a mutation in the bilirubin UDP-glucuronosyltransferase gene.","A case of anorexia nervosa with hyperbilirubinaemia in a patient homozygous for a mutation in the bilirubin UDP-glucuronosyltransferase gene.",1999,0.45,NA,"PMID","10412811","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","Gilbert's syndrome is a contributory factor in prolonged unconjugated hyperbilirubinemia of the newborn.","Gilbert's syndrome is a contributory factor in prolonged unconjugated hyperbilirubinemia of the newborn.",1999,0.45,NA,"PMID","10190918","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","Racial variability in the UDP-glucuronosyltransferase 1 (UGT1A1) promoter: a balanced polymorphism for regulation of bilirubin metabolism?","Racial variability in the UDP-glucuronosyltransferase 1 (UGT1A1) promoter: a balanced polymorphism for regulation of bilirubin metabolism?",1998,0.45,NA,"PMID","9653159","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","Prolonged unconjugated hyperbilirubinemia associated with breast milk and mutations of the bilirubin uridine diphosphate- glucuronosyltransferase gene.","Prolonged unconjugated hyperbilirubinemia associated with breast milk and mutations of the bilirubin uridine diphosphate- glucuronosyltransferase gene.",2000,0.45,NA,"PMID","11061796","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","GeneticVariation","Identification of a defect in the UGT1A1 gene promoter and its association with hyperbilirubinemia.","Identification of a defect in the UGT1A1 gene promoter and its association with hyperbilirubinemia.",2002,0.45,NA,"PMID","11906189","","",NA,NA
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","CLINVAR","CausalMutation","Neonatal hyperbilirubinemia and Gly71Arg mutation of UGT1A1 gene: a Chinese case-control study followed by systematic review of existing evidence.","Neonatal hyperbilirubinemia and Gly71Arg mutation of UGT1A1 gene: a Chinese case-control study followed by systematic review of existing evidence.",2011,0.45,NA,"PMID","21272068","Chinese","HANCESTRO:0021",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Glaucoma of childhood","[disease]","C2981140","Eye Diseases (C11) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the eye (00478)","CLINVAR","CausalMutation",NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Dural ectasia","[phenotype]","C1851712","","Finding (T033)","","Abnormality of the nervous system (00707)","CLINVAR","CausalMutation",NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","Prostatic Neoplasms","[disease]","C0033578","Urogenital Diseases (C12) | Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Abnormality of the genitourinary system (00119) | Neoplasm (02664)","RGD_HUMAN","CausalOrContributing",NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Neurodevelopmental Disorders","[disease]","C1535926","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","","","GENCC","GeneticVariation",NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA
